subscription_id,customer_id,plan_id,seats,billing_interval,mrr,started_at,ended_at,status,cancellation_reason
450,437,1,10,monthly,0.00,2023-10-30,2024-01-03,cancelled,low_adoption
451,438,2,33,annual,1622.50,2022-07-17,,active,
452,439,2,2,monthly,118.00,2026-02-21,,active,
453,440,4,41,annual,5090.83,2024-10-03,,active,
454,441,3,50,annual,0.00,2024-11-19,2026-06-19,cancelled,low_adoption
455,442,2,10,monthly,590.00,2025-02-14,,active,
456,443,2,50,monthly,2950.00,2026-02-07,,active,
457,444,2,8,monthly,472.00,2025-08-12,,active,
458,445,3,20,annual,1650.00,2026-06-26,,active,
459,446,4,31,annual,0.00,2025-07-31,2026-06-16,cancelled,low_adoption
460,447,3,7,monthly,0.00,2024-05-15,2026-01-01,cancelled,low_adoption
461,447,3,5,monthly,495.00,2026-05-23,,active,
462,448,3,31,annual,2557.50,2026-02-08,,active,
463,449,3,27,monthly,0.00,2022-12-21,2025-05-23,cancelled,low_adoption
464,450,4,103,annual,12789.17,2025-04-13,,active,
465,451,3,9,annual,742.50,2026-07-24,,active,
466,452,4,20,annual,2483.33,2025-09-24,,active,
467,453,1,6,monthly,174.00,2026-08-25,,active,
468,454,2,5,monthly,0.00,2024-05-29,2024-07-14,cancelled,missing_features
469,455,2,6,annual,295.00,2026-07-24,,active,
470,456,3,10,monthly,0.00,2024-03-11,2025-03-27,cancelled,low_adoption
471,457,2,50,annual,2458.33,2026-04-21,,active,
472,458,1,2,monthly,58.00,2024-05-22,,active,
473,459,4,400,annual,49666.67,2024-12-25,,active,
474,460,3,43,annual,3547.50,2025-04-07,,active,
475,461,3,38,annual,3135.00,2025-12-25,,active,
476,462,1,8,monthly,232.00,2022-09-08,,active,
477,463,3,126,annual,10395.00,2025-09-30,,active,
478,464,4,9,annual,0.00,2024-03-10,2026-08-24,cancelled,competitor
479,465,2,10,monthly,590.00,2025-08-27,,active,
480,466,3,7,monthly,0.00,2024-09-15,2026-05-23,cancelled,price
481,467,3,4,monthly,396.00,2025-06-13,,active,
482,468,2,5,monthly,0.00,2022-07-26,2025-08-02,cancelled,price
483,468,2,3,monthly,177.00,2026-03-03,,active,
484,469,2,10,monthly,590.00,2026-04-30,,active,
485,470,2,9,monthly,531.00,2025-08-11,,active,
486,471,4,68,annual,8443.33,2023-07-10,,active,
487,472,3,70,annual,5775.00,2024-01-05,,active,
488,473,4,412,annual,51156.67,2025-10-15,,active,
489,474,2,40,annual,1966.67,2025-12-03,,active,
490,475,1,8,monthly,232.00,2026-03-24,,active,
491,476,3,9,monthly,891.00,2025-04-03,,active,
492,477,3,5,monthly,495.00,2025-10-14,,active,
493,478,2,16,annual,786.67,2026-01-15,,active,
494,479,3,15,annual,0.00,2023-12-02,2025-09-21,cancelled,missing_features
495,480,4,283,annual,35139.17,2025-09-29,,active,
