subscription_history_id,subscription_id,customer_id,plan_id,seats,billing_interval,mrr,status,valid_from,valid_to,is_current
387,170,165,3,145,annual,11962.50,active,2024-11-02,2025-02-26,false
388,170,165,3,176,annual,14520.00,active,2025-02-26,2025-04-18,false
389,170,165,3,213,annual,17572.50,active,2025-04-18,2026-07-12,false
390,170,165,3,235,annual,19387.50,active,2026-07-12,9999-12-31,true
391,171,166,2,8,monthly,472.00,active,2025-04-09,2025-08-26,false
392,171,166,2,6,monthly,354.00,active,2025-08-26,2025-12-23,false
393,172,167,3,19,annual,1567.50,active,2024-09-30,2025-03-12,false
394,173,168,2,7,annual,344.17,active,2025-02-12,2025-09-28,false
395,173,168,2,8,annual,393.33,active,2025-09-28,2026-01-25,false
396,173,168,3,8,annual,660.00,active,2026-01-25,2026-08-23,false
397,174,169,3,60,annual,4950.00,active,2025-03-26,2025-04-01,false
398,174,169,2,50,annual,2458.33,active,2025-04-01,2025-07-12,false
399,174,169,1,10,monthly,290.00,active,2025-07-12,9999-12-31,true
400,175,170,2,8,monthly,472.00,active,2025-06-12,2025-11-15,false
401,175,170,3,8,monthly,792.00,active,2025-11-15,2026-02-01,false
402,176,171,1,10,monthly,290.00,active,2024-05-22,2025-02-15,false
403,177,172,1,10,monthly,290.00,active,2022-12-07,9999-12-31,true
404,178,173,3,34,monthly,3366.00,active,2025-06-29,2026-01-22,false
405,178,173,3,40,monthly,3960.00,active,2026-01-22,2026-05-11,false
406,178,173,3,48,monthly,4752.00,active,2026-05-11,2026-07-31,false
407,179,174,1,10,monthly,290.00,active,2026-08-10,9999-12-31,true
408,180,175,2,25,monthly,1475.00,active,2023-07-15,2024-03-16,false
409,181,175,2,17,monthly,1003.00,active,2024-06-16,2025-05-06,false
410,182,176,4,271,annual,33649.17,active,2023-10-18,2025-10-08,false
411,182,176,4,291,annual,36132.50,active,2025-10-08,2025-11-07,false
412,182,176,4,228,annual,28310.00,active,2025-11-07,2026-05-08,false
413,182,176,4,251,annual,31165.83,active,2026-05-08,9999-12-31,true
414,183,177,3,16,monthly,1584.00,active,2026-07-30,9999-12-31,true
415,184,178,1,10,monthly,290.00,active,2024-08-05,2024-09-17,false
416,184,178,2,10,monthly,590.00,active,2024-09-17,2025-04-06,false
417,184,178,2,9,monthly,531.00,active,2025-04-06,2025-06-01,false
418,184,178,1,9,monthly,261.00,active,2025-06-01,2025-08-19,false
419,184,178,1,10,monthly,290.00,active,2025-08-19,2025-09-28,false
420,184,178,1,8,monthly,232.00,active,2025-09-28,9999-12-31,true
421,185,179,2,2,monthly,118.00,active,2022-08-12,2022-12-10,false
422,186,180,1,2,monthly,58.00,active,2026-08-18,9999-12-31,true
423,187,181,2,32,monthly,1888.00,active,2026-04-30,2026-07-14,false
424,187,181,2,27,monthly,1593.00,active,2026-07-14,9999-12-31,true
425,188,182,4,492,annual,61090.00,active,2023-08-05,2026-02-18,false
426,188,182,4,591,annual,73382.50,active,2026-02-18,9999-12-31,true
427,189,183,3,16,monthly,1584.00,active,2022-09-26,2023-01-12,false
428,189,183,3,18,monthly,1782.00,active,2023-01-12,2023-11-04,false
429,189,183,3,19,monthly,1881.00,active,2023-11-04,2024-06-21,false
430,189,183,4,19,annual,2359.17,active,2024-06-21,2024-10-23,false
431,189,183,4,23,annual,2855.83,active,2024-10-23,2025-01-27,false
432,189,183,4,26,annual,3228.33,active,2025-01-27,2025-04-20,false
433,189,183,4,30,annual,3725.00,active,2025-04-20,9999-12-31,true
434,190,184,1,7,monthly,203.00,active,2024-08-08,2024-11-25,false
435,191,185,2,16,monthly,944.00,active,2024-10-14,2025-12-25,false
436,191,185,2,17,monthly,1003.00,active,2025-12-25,2026-05-06,false
437,191,185,2,20,monthly,1180.00,active,2026-05-06,2026-07-07,false
438,191,185,2,18,monthly,1062.00,active,2026-07-07,9999-12-31,true
439,192,186,4,290,annual,36008.33,active,2026-03-17,9999-12-31,true
440,193,187,3,95,annual,7837.50,active,2025-03-27,2026-01-31,false
441,193,187,3,101,annual,8332.50,active,2026-01-31,9999-12-31,true
442,194,188,1,10,monthly,290.00,active,2026-02-04,2026-07-12,false
443,194,188,2,10,monthly,590.00,active,2026-07-12,9999-12-31,true
444,195,189,3,19,annual,1567.50,active,2023-07-18,2024-03-17,false
445,195,189,4,19,annual,2359.17,active,2024-03-17,2024-10-17,false
446,195,189,4,22,annual,2731.67,active,2024-10-17,2025-03-10,false
447,195,189,4,26,annual,3228.33,active,2025-03-10,9999-12-31,true
448,196,190,1,10,monthly,290.00,active,2024-12-18,2025-02-02,false
449,197,191,3,10,annual,825.00,active,2025-03-17,2025-04-22,false
450,197,191,3,12,annual,990.00,active,2025-04-22,2025-06-02,false
451,198,192,3,75,annual,6187.50,active,2024-02-04,2024-05-30,false
452,199,193,1,6,monthly,174.00,active,2024-05-28,2025-05-04,false
453,200,194,4,377,annual,46810.83,active,2022-12-31,2025-05-12,false
454,201,194,3,342,annual,28215.00,active,2025-12-26,2026-05-10,false
455,201,194,3,376,annual,31020.00,active,2026-05-10,2026-06-08,false
456,202,195,2,9,annual,442.50,active,2026-05-26,2026-06-13,false
457,202,195,3,9,annual,742.50,active,2026-06-13,9999-12-31,true
458,203,196,2,3,monthly,177.00,active,2023-01-07,2023-06-16,false
459,203,196,3,3,monthly,297.00,active,2023-06-16,2023-11-01,false
460,203,196,3,4,monthly,396.00,active,2023-11-01,2024-04-18,false
461,204,197,2,35,monthly,2065.00,active,2022-11-04,2023-06-15,false
462,204,197,2,37,monthly,2183.00,active,2023-06-15,2023-09-15,false
463,205,198,1,4,monthly,116.00,active,2026-07-14,9999-12-31,true
464,206,199,2,4,annual,196.67,active,2025-11-30,2026-01-21,false
465,207,199,2,2,monthly,118.00,active,2026-05-14,9999-12-31,true
466,208,200,3,146,annual,12045.00,active,2026-08-13,9999-12-31,true
467,209,201,2,10,monthly,590.00,active,2024-03-01,2024-07-01,false
468,209,201,2,12,monthly,708.00,active,2024-07-01,2024-12-30,false
469,209,201,1,10,monthly,290.00,active,2024-12-30,2026-01-23,false
470,209,201,2,10,monthly,590.00,active,2026-01-23,9999-12-31,true
471,210,202,1,7,monthly,203.00,active,2026-08-20,9999-12-31,true
472,211,203,3,18,annual,1485.00,active,2024-09-01,2024-11-27,false
473,211,203,3,14,annual,1155.00,active,2024-11-27,2025-05-25,false
474,211,203,4,14,annual,1738.33,active,2025-05-25,2026-01-23,false
475,211,203,3,14,annual,1155.00,active,2026-01-23,2026-07-17,false
476,211,203,2,14,annual,688.33,active,2026-07-17,9999-12-31,true
477,212,204,2,8,monthly,472.00,active,2026-06-04,9999-12-31,true
478,213,205,2,9,monthly,531.00,active,2025-05-01,2025-08-07,false
479,213,205,2,8,monthly,472.00,active,2025-08-07,2025-11-01,false
480,213,205,2,9,monthly,531.00,active,2025-11-01,9999-12-31,true
481,214,206,4,153,annual,18997.50,active,2026-04-26,9999-12-31,true
482,215,207,3,11,monthly,1089.00,active,2022-12-13,2023-08-15,false
483,216,208,2,18,monthly,1062.00,active,2026-03-23,2026-07-31,false
484,216,208,2,20,monthly,1180.00,active,2026-07-31,9999-12-31,true
485,217,209,1,10,monthly,290.00,active,2023-10-18,2024-12-08,false
486,217,209,1,8,monthly,232.00,active,2024-12-08,2025-07-04,false
487,218,210,2,3,monthly,177.00,active,2026-07-03,9999-12-31,true
488,219,211,1,2,monthly,58.00,active,2024-08-09,2024-11-28,false
489,219,211,1,3,monthly,87.00,active,2024-11-28,2025-06-17,false
490,219,211,1,2,monthly,58.00,active,2025-06-17,9999-12-31,true
491,220,212,4,356,annual,44203.33,active,2023-03-21,2023-08-04,false
492,220,212,3,356,annual,29370.00,active,2023-08-04,2023-09-13,false
493,220,212,3,428,annual,35310.00,active,2023-09-13,2024-02-19,false
494,220,212,3,365,annual,30112.50,active,2024-02-19,2024-10-14,false
495,220,212,3,391,annual,32257.50,active,2024-10-14,2024-11-21,false
496,220,212,3,341,annual,28132.50,active,2024-11-21,2024-12-21,false
497,220,212,3,408,annual,33660.00,active,2024-12-21,2025-02-20,false
498,220,212,3,495,annual,40837.50,active,2025-02-20,2025-09-30,false
499,220,212,4,495,annual,61462.50,active,2025-09-30,9999-12-31,true
500,221,213,4,166,annual,20611.67,active,2024-07-16,2024-10-02,false
501,221,213,4,177,annual,21977.50,active,2024-10-02,2025-08-09,false
502,221,213,4,209,annual,25950.83,active,2025-08-09,9999-12-31,true
503,222,214,3,19,annual,1567.50,active,2025-01-30,2025-02-14,false
504,222,214,2,19,annual,934.17,active,2025-02-14,2025-04-03,false
505,222,214,3,19,annual,1567.50,active,2025-04-03,2026-02-12,false
506,222,214,3,21,annual,1732.50,active,2026-02-12,9999-12-31,true
507,223,215,1,4,monthly,116.00,active,2023-10-13,2025-01-16,false
508,223,215,1,5,monthly,145.00,active,2025-01-16,2025-11-29,false
509,223,215,1,6,monthly,174.00,active,2025-11-29,2025-12-09,false
510,223,215,1,7,monthly,203.00,active,2025-12-09,9999-12-31,true
511,224,216,3,159,annual,13117.50,active,2026-07-14,9999-12-31,true
512,225,217,3,5,monthly,495.00,active,2026-06-23,9999-12-31,true
513,226,218,1,3,monthly,87.00,active,2024-09-08,2024-10-26,false
514,226,218,2,3,monthly,177.00,active,2024-10-26,2024-12-11,false
515,226,218,3,3,monthly,297.00,active,2024-12-11,2025-04-11,false
516,226,218,3,4,monthly,396.00,active,2025-04-11,9999-12-31,true
517,227,219,3,9,monthly,891.00,active,2024-12-25,2025-01-27,false
518,227,219,3,10,monthly,990.00,active,2025-01-27,2025-06-03,false
519,227,219,3,11,monthly,1089.00,active,2025-06-03,9999-12-31,true
520,228,220,3,14,monthly,1386.00,active,2026-03-08,2026-07-01,false
521,228,220,3,15,monthly,1485.00,active,2026-07-01,9999-12-31,true
522,229,221,4,120,annual,14900.00,active,2025-10-29,2026-03-03,false
523,229,221,4,94,annual,11671.67,active,2026-03-03,2026-07-18,false
524,229,221,4,105,annual,13037.50,active,2026-07-18,9999-12-31,true
525,230,222,3,125,monthly,12375.00,active,2023-12-15,2024-03-07,false
526,230,222,3,146,monthly,14454.00,active,2024-03-07,2024-08-03,false
527,230,222,3,155,monthly,15345.00,active,2024-08-03,2024-12-12,false
528,230,222,3,186,monthly,18414.00,active,2024-12-12,2025-01-20,false
529,230,222,4,186,annual,23095.00,active,2025-01-20,9999-12-31,true
530,231,223,2,7,monthly,413.00,active,2024-09-16,2024-10-01,false
531,231,223,3,7,monthly,693.00,active,2024-10-01,2024-11-09,false
532,231,223,3,8,monthly,792.00,active,2024-11-09,2024-12-06,false
533,231,223,3,9,monthly,891.00,active,2024-12-06,2025-03-18,false
534,231,223,4,9,annual,1117.50,active,2025-03-18,9999-12-31,true
535,232,224,2,15,monthly,885.00,active,2024-10-24,2024-11-20,false
536,232,224,2,13,monthly,767.00,active,2024-11-20,2025-02-28,false
537,232,224,2,11,monthly,649.00,active,2025-02-28,2025-06-09,false
538,232,224,2,12,monthly,708.00,active,2025-06-09,2025-09-19,false
539,232,224,2,13,monthly,767.00,active,2025-09-19,2026-02-17,false
540,232,224,2,12,monthly,708.00,active,2026-02-17,2026-08-25,false
541,232,224,3,12,monthly,1188.00,active,2026-08-25,9999-12-31,true
542,233,225,3,19,annual,1567.50,active,2025-10-07,2026-02-24,false
543,233,225,4,19,annual,2359.17,active,2026-02-24,9999-12-31,true
544,234,226,1,7,monthly,203.00,active,2025-07-12,9999-12-31,true
545,235,227,2,6,annual,295.00,active,2025-05-06,9999-12-31,true
546,236,228,2,19,annual,934.17,active,2026-03-10,2026-07-13,false
547,236,228,2,22,annual,1081.67,active,2026-07-13,9999-12-31,true
548,237,229,2,12,monthly,708.00,active,2024-02-11,2024-06-30,false
549,238,230,2,26,monthly,1534.00,active,2023-09-28,2023-11-10,false
550,238,230,2,20,monthly,1180.00,active,2023-11-10,2024-03-07,false
551,238,230,3,20,monthly,1980.00,active,2024-03-07,2024-08-20,false
552,238,230,4,20,annual,2483.33,active,2024-08-20,2024-10-14,false
553,239,231,2,10,annual,491.67,active,2023-11-14,2024-05-25,false
554,240,232,2,9,monthly,531.00,active,2024-04-18,2024-08-16,false
555,240,232,2,10,monthly,590.00,active,2024-08-16,9999-12-31,true
556,241,233,2,4,annual,196.67,active,2026-04-25,2026-08-30,false
557,241,233,2,5,annual,245.83,active,2026-08-30,9999-12-31,true
558,242,234,2,2,monthly,118.00,active,2025-08-01,2026-03-09,false
559,242,234,3,2,monthly,198.00,active,2026-03-09,2026-08-28,false
560,242,234,3,3,monthly,297.00,active,2026-08-28,9999-12-31,true
561,243,235,2,46,monthly,2714.00,active,2025-08-30,2026-08-10,false
562,243,235,2,49,monthly,2891.00,active,2026-08-10,9999-12-31,true
563,244,236,2,16,annual,786.67,active,2024-05-15,2024-12-05,false
564,244,236,2,18,annual,885.00,active,2024-12-05,9999-12-31,true
565,245,237,3,212,annual,17490.00,active,2023-07-08,2024-08-12,false
566,245,237,3,257,annual,21202.50,active,2024-08-12,2025-02-11,false
567,245,237,3,307,annual,25327.50,active,2025-02-11,9999-12-31,true
568,246,238,2,26,annual,1278.33,active,2024-05-25,2025-02-04,false
569,246,238,2,28,annual,1376.67,active,2025-02-04,2025-06-07,false
570,246,238,2,32,annual,1573.33,active,2025-06-07,2026-03-02,false
571,246,238,2,35,annual,1720.83,active,2026-03-02,9999-12-31,true
572,247,239,3,151,annual,12457.50,active,2026-02-17,2026-08-02,false
573,247,239,3,168,annual,13860.00,active,2026-08-02,9999-12-31,true
574,248,240,3,19,monthly,1881.00,active,2023-12-27,2024-02-14,false
575,249,241,3,19,annual,1567.50,active,2023-05-18,2023-06-22,false
576,249,241,3,22,annual,1815.00,active,2023-06-22,2023-08-11,false
577,249,241,3,24,annual,1980.00,active,2023-08-11,2024-01-06,false
578,250,242,2,3,monthly,177.00,active,2026-06-01,9999-12-31,true
579,251,243,2,10,monthly,590.00,active,2026-05-08,2026-06-13,false
580,251,243,2,11,monthly,649.00,active,2026-06-13,9999-12-31,true
581,252,244,1,8,monthly,232.00,active,2024-12-22,2025-02-28,false
582,252,244,1,9,monthly,261.00,active,2025-02-28,2025-04-11,false
583,253,244,1,8,monthly,232.00,active,2025-10-25,9999-12-31,true
584,254,245,3,556,annual,45870.00,active,2025-05-10,2025-10-29,false
585,254,245,3,637,annual,52552.50,active,2025-10-29,2026-04-28,false
586,254,245,3,755,annual,62287.50,active,2026-04-28,9999-12-31,true
587,255,246,3,45,annual,3712.50,active,2024-06-01,2024-10-11,false
588,255,246,3,48,annual,3960.00,active,2024-10-11,2024-12-16,false
589,255,246,3,56,annual,4620.00,active,2024-12-16,2025-03-04,false
590,255,246,2,50,annual,2458.33,active,2025-03-04,2025-06-12,false
591,255,246,3,50,annual,4125.00,active,2025-06-12,9999-12-31,true
592,256,247,2,31,annual,1524.17,active,2026-06-24,9999-12-31,true
593,257,248,2,4,monthly,236.00,active,2022-12-01,2023-09-24,false
594,258,249,2,9,monthly,531.00,active,2022-08-02,2022-10-11,false
595,258,249,3,9,monthly,891.00,active,2022-10-11,2023-01-16,false
596,258,249,4,9,annual,1117.50,active,2023-01-16,2023-04-12,false
597,258,249,4,10,annual,1241.67,active,2023-04-12,2024-09-11,false
598,258,249,4,11,annual,1365.83,active,2024-09-11,9999-12-31,true
599,259,250,1,10,monthly,290.00,active,2026-06-01,9999-12-31,true
600,260,251,3,12,annual,990.00,active,2025-04-30,2025-08-05,false
601,260,251,4,12,annual,1490.00,active,2025-08-05,9999-12-31,true
602,261,252,2,5,monthly,295.00,active,2026-04-30,2026-06-09,false
603,261,252,2,6,monthly,354.00,active,2026-06-09,9999-12-31,true
604,262,253,4,12,annual,1490.00,active,2025-09-06,2025-12-08,false
605,262,253,4,15,annual,1862.50,active,2025-12-08,2026-02-08,false
606,262,253,4,13,annual,1614.17,active,2026-02-08,2026-05-13,false
607,262,253,4,15,annual,1862.50,active,2026-05-13,9999-12-31,true
608,263,254,1,7,monthly,203.00,active,2026-02-19,2026-04-20,false
609,264,255,1,10,monthly,290.00,active,2024-03-10,2024-12-01,false
610,265,256,2,4,monthly,236.00,active,2023-05-28,2023-11-22,false
611,265,256,3,4,monthly,396.00,active,2023-11-22,2026-06-23,false
612,265,256,3,5,monthly,495.00,active,2026-06-23,2026-08-23,false
613,265,256,3,6,monthly,594.00,active,2026-08-23,9999-12-31,true
614,266,257,3,12,annual,990.00,active,2025-02-07,2025-05-15,false
615,266,257,3,10,annual,825.00,active,2025-05-15,2025-06-22,false
616,266,257,3,12,annual,990.00,active,2025-06-22,2025-10-01,false
617,266,257,3,11,annual,907.50,active,2025-10-01,2026-02-05,false
618,266,257,2,11,annual,540.83,active,2026-02-05,9999-12-31,true
619,267,258,2,10,monthly,590.00,active,2025-08-20,2026-06-09,false
620,267,258,2,8,monthly,472.00,active,2026-06-09,2026-08-30,false
621,267,258,3,8,monthly,792.00,active,2026-08-30,9999-12-31,true
622,268,259,2,50,annual,2458.33,active,2025-01-13,2025-04-01,false
623,268,259,3,50,annual,4125.00,active,2025-04-01,9999-12-31,true
624,269,260,2,10,monthly,590.00,active,2026-02-26,2026-03-09,false
625,269,260,2,11,monthly,649.00,active,2026-03-09,9999-12-31,true
626,270,261,2,2,annual,98.33,active,2024-07-10,2026-08-07,false
627,270,261,1,2,monthly,58.00,active,2026-08-07,9999-12-31,true
628,271,262,1,5,monthly,145.00,active,2026-04-03,2026-08-24,false
629,271,262,1,4,monthly,116.00,active,2026-08-24,9999-12-31,true
630,272,263,1,2,monthly,58.00,active,2025-08-16,2025-10-04,false
631,273,264,3,24,monthly,2376.00,active,2022-10-06,2023-09-09,false
632,273,264,3,27,monthly,2673.00,active,2023-09-09,2025-03-30,false
633,273,264,2,27,monthly,1593.00,active,2025-03-30,9999-12-31,true
634,274,265,2,6,monthly,354.00,active,2026-06-27,9999-12-31,true
635,275,266,3,28,annual,2310.00,active,2024-12-13,2025-11-09,false
636,275,266,2,28,annual,1376.67,active,2025-11-09,2026-02-28,false
637,275,266,1,10,monthly,290.00,active,2026-02-28,2026-07-04,false
638,276,267,3,27,annual,2227.50,active,2025-01-28,2025-12-12,false
639,276,267,3,32,annual,2640.00,active,2025-12-12,2026-03-06,false
640,276,267,3,35,annual,2887.50,active,2026-03-06,2026-05-16,false
641,276,267,3,42,annual,3465.00,active,2026-05-16,2026-07-18,false
642,277,268,2,13,monthly,767.00,active,2023-06-26,2024-07-16,false
643,277,268,2,12,monthly,708.00,active,2024-07-16,2024-11-20,false
644,277,268,3,12,monthly,1188.00,active,2024-11-20,2025-06-06,false
645,277,268,3,14,monthly,1386.00,active,2025-06-06,2025-12-09,false
646,278,269,2,6,monthly,354.00,active,2025-02-14,2025-08-26,false
647,278,269,2,7,monthly,413.00,active,2025-08-26,2025-10-01,false
648,278,269,3,7,monthly,693.00,active,2025-10-01,2026-03-26,false
649,278,269,4,7,annual,869.17,active,2026-03-26,9999-12-31,true
650,279,270,2,22,annual,1081.67,active,2024-10-26,2025-03-31,false
651,279,270,2,25,annual,1229.17,active,2025-03-31,2026-07-18,false
652,279,270,2,28,annual,1376.67,active,2026-07-18,9999-12-31,true
653,280,271,2,19,monthly,1121.00,active,2023-08-25,2023-09-22,false
654,280,271,3,19,monthly,1881.00,active,2023-09-22,2025-07-19,false
655,280,271,3,22,monthly,2178.00,active,2025-07-19,2025-11-15,false
656,280,271,3,25,monthly,2475.00,active,2025-11-15,2026-01-21,false
657,280,271,3,30,monthly,2970.00,active,2026-01-21,9999-12-31,true
658,281,272,4,686,annual,85178.33,active,2025-02-25,2025-04-17,false
659,282,273,3,9,monthly,891.00,active,2026-04-13,9999-12-31,true
660,283,274,3,15,annual,1237.50,active,2025-04-20,2026-02-11,false
661,283,274,3,16,annual,1320.00,active,2026-02-11,2026-07-26,false
662,283,274,3,14,annual,1155.00,active,2026-07-26,9999-12-31,true
663,284,275,2,5,annual,245.83,active,2026-06-04,2026-07-17,false
664,284,275,2,4,annual,196.67,active,2026-07-17,2026-08-26,false
665,284,275,2,5,annual,245.83,active,2026-08-26,9999-12-31,true
666,285,276,1,2,monthly,58.00,active,2026-03-07,2026-06-10,false
667,285,276,1,3,monthly,87.00,active,2026-06-10,9999-12-31,true
668,286,277,4,18,annual,2235.00,active,2026-08-01,9999-12-31,true
669,287,278,3,436,annual,35970.00,active,2025-11-24,9999-12-31,true
670,288,279,1,5,monthly,145.00,active,2024-02-14,2024-03-15,false
671,288,279,1,6,monthly,174.00,active,2024-03-15,2024-09-26,false
672,289,280,1,10,monthly,290.00,active,2024-11-13,2025-05-12,false
673,290,281,2,4,monthly,236.00,active,2024-06-25,9999-12-31,true
674,291,282,1,7,monthly,203.00,active,2026-07-30,9999-12-31,true
675,292,283,1,10,monthly,290.00,active,2024-01-13,2025-08-18,false
676,292,283,1,8,monthly,232.00,active,2025-08-18,2025-10-26,false
677,293,284,2,5,monthly,295.00,active,2022-10-04,2023-07-14,false
678,293,284,2,4,monthly,236.00,active,2023-07-14,2024-05-12,false
679,294,285,2,50,annual,2458.33,active,2025-05-01,9999-12-31,true
680,295,286,2,14,monthly,826.00,active,2025-10-28,2025-11-17,false
681,295,286,2,17,monthly,1003.00,active,2025-11-17,2026-04-09,false
682,295,286,2,19,monthly,1121.00,active,2026-04-09,9999-12-31,true
683,296,287,1,7,monthly,203.00,active,2026-05-24,2026-07-08,false
684,297,288,3,24,annual,1980.00,active,2025-05-26,9999-12-31,true
685,298,289,1,7,monthly,203.00,active,2024-11-16,2025-03-26,false
686,298,289,1,8,monthly,232.00,active,2025-03-26,2025-11-20,false
687,298,289,1,10,monthly,290.00,active,2025-11-20,2026-06-03,false
688,298,289,2,10,monthly,590.00,active,2026-06-03,2026-07-12,false
689,299,290,3,9,annual,742.50,active,2025-05-03,9999-12-31,true
690,300,291,3,22,annual,1815.00,active,2025-09-25,2025-10-29,false
691,300,291,2,22,annual,1081.67,active,2025-10-29,9999-12-31,true
692,301,292,2,14,annual,688.33,active,2023-12-04,2024-12-03,false
693,301,292,2,16,annual,786.67,active,2024-12-03,2025-03-28,false
694,301,292,3,16,annual,1320.00,active,2025-03-28,2025-12-27,false
695,302,293,2,12,annual,590.00,active,2024-09-09,2025-06-30,false
696,302,293,2,13,annual,639.17,active,2025-06-30,9999-12-31,true
697,303,294,1,5,monthly,145.00,active,2023-07-04,2023-12-17,false
698,303,294,1,6,monthly,174.00,active,2023-12-17,2025-07-05,false
699,304,295,1,6,monthly,174.00,active,2025-05-09,2025-09-06,false
700,304,295,2,6,monthly,354.00,active,2025-09-06,2025-11-27,false
701,304,295,1,6,monthly,174.00,active,2025-11-27,2026-05-10,false
702,304,295,1,5,monthly,145.00,active,2026-05-10,9999-12-31,true
703,305,296,2,5,monthly,295.00,active,2024-10-12,2024-12-27,false
704,305,296,2,6,monthly,354.00,active,2024-12-27,2025-02-04,false
705,305,296,1,6,monthly,174.00,active,2025-02-04,2025-03-15,false
706,306,296,1,4,monthly,116.00,active,2025-09-21,9999-12-31,true
707,307,297,3,9,monthly,891.00,active,2026-07-07,9999-12-31,true
708,308,298,1,10,monthly,290.00,active,2023-09-18,2024-12-16,false
709,308,298,2,10,monthly,590.00,active,2024-12-16,2025-01-16,false
710,308,298,1,10,monthly,290.00,active,2025-01-16,2025-05-11,false
711,308,298,2,10,monthly,590.00,active,2025-05-11,2026-08-18,false
712,308,298,3,10,monthly,990.00,active,2026-08-18,9999-12-31,true
713,309,299,2,35,annual,1720.83,active,2025-01-06,2025-06-01,false
714,309,299,2,42,annual,2065.00,active,2025-06-01,2026-06-26,false
715,309,299,2,49,annual,2409.17,active,2026-06-26,9999-12-31,true
716,310,300,2,25,annual,1229.17,active,2024-07-09,2025-05-15,false
717,310,300,2,27,annual,1327.50,active,2025-05-15,2026-07-13,false
718,310,300,2,29,annual,1425.83,active,2026-07-13,9999-12-31,true
719,311,301,4,263,annual,32655.83,active,2023-07-03,2026-03-31,false
720,311,301,4,288,annual,35760.00,active,2026-03-31,9999-12-31,true
721,312,302,1,10,monthly,290.00,active,2025-03-20,2025-04-06,false
722,312,302,1,8,monthly,232.00,active,2025-04-06,2025-08-06,false
723,312,302,2,8,monthly,472.00,active,2025-08-06,2025-09-19,false
724,313,303,1,10,monthly,290.00,active,2022-10-26,2025-04-21,false
725,313,303,1,9,monthly,261.00,active,2025-04-21,2025-10-15,false
726,313,303,1,10,monthly,290.00,active,2025-10-15,2026-07-09,false
727,313,303,2,10,monthly,590.00,active,2026-07-09,9999-12-31,true
728,314,304,3,46,annual,3795.00,active,2022-10-02,2023-03-15,false
729,314,304,4,46,annual,5711.67,active,2023-03-15,2023-06-22,false
730,314,304,4,55,annual,6829.17,active,2023-06-22,9999-12-31,true
731,315,305,1,8,monthly,232.00,active,2024-09-06,2024-12-31,false
732,316,306,2,13,annual,639.17,active,2026-07-17,9999-12-31,true
733,317,307,1,8,monthly,232.00,active,2026-06-10,9999-12-31,true
734,318,308,1,4,monthly,116.00,active,2025-04-27,2025-08-21,false
735,318,308,1,3,monthly,87.00,active,2025-08-21,2025-11-07,false
736,318,308,1,4,monthly,116.00,active,2025-11-07,2025-12-02,false
737,318,308,1,5,monthly,145.00,active,2025-12-02,2026-04-10,false
738,318,308,2,5,monthly,295.00,active,2026-04-10,9999-12-31,true
739,319,309,2,12,annual,590.00,active,2026-01-27,2026-08-22,false
740,319,309,2,9,annual,442.50,active,2026-08-22,9999-12-31,true
741,320,310,3,68,annual,5610.00,active,2025-07-19,9999-12-31,true
742,321,311,2,17,annual,835.83,active,2025-08-09,2026-07-18,false
743,321,311,2,20,annual,983.33,active,2026-07-18,9999-12-31,true
744,322,312,3,55,annual,4537.50,active,2026-03-02,2026-08-11,false
745,322,312,4,55,annual,6829.17,active,2026-08-11,9999-12-31,true
746,323,313,1,10,monthly,290.00,active,2023-04-07,2024-08-21,false
747,323,313,2,10,monthly,590.00,active,2024-08-21,2025-04-21,false
748,323,313,2,12,monthly,708.00,active,2025-04-21,2025-08-27,false
749,323,313,3,12,monthly,1188.00,active,2025-08-27,9999-12-31,true
750,324,314,2,40,annual,1966.67,active,2025-07-06,2026-06-25,false
751,324,314,2,43,annual,2114.17,active,2026-06-25,9999-12-31,true
752,325,315,1,10,monthly,290.00,active,2023-11-16,2024-09-09,false
753,326,316,1,2,monthly,58.00,active,2023-01-08,2024-04-18,false
754,326,316,1,3,monthly,87.00,active,2024-04-18,2026-05-13,false
755,327,317,1,2,monthly,58.00,active,2024-10-13,2024-12-08,false
756,328,318,2,8,monthly,472.00,active,2024-07-20,2024-08-10,false
757,328,318,2,9,monthly,531.00,active,2024-08-10,2024-10-03,false
758,328,318,3,9,monthly,891.00,active,2024-10-03,2025-02-26,false
759,329,319,1,10,monthly,290.00,active,2024-11-29,2026-04-07,false
760,329,319,1,8,monthly,232.00,active,2026-04-07,2026-07-26,false
761,330,320,3,11,annual,907.50,active,2024-07-16,2025-11-11,false
762,330,320,3,9,annual,742.50,active,2025-11-11,9999-12-31,true
763,331,321,1,10,monthly,290.00,active,2024-11-07,2025-05-28,false
764,331,321,1,9,monthly,261.00,active,2025-05-28,2025-08-31,false
765,331,321,2,9,monthly,531.00,active,2025-08-31,9999-12-31,true
766,332,322,2,16,annual,786.67,active,2023-10-21,2023-11-27,false
767,332,322,2,19,annual,934.17,active,2023-11-27,2023-12-31,false
768,332,322,2,21,annual,1032.50,active,2023-12-31,2024-01-07,false
769,332,322,3,21,annual,1732.50,active,2024-01-07,2024-05-30,false
770,332,322,3,23,annual,1897.50,active,2024-05-30,2024-11-14,false
771,332,322,4,23,annual,2855.83,active,2024-11-14,9999-12-31,true
772,333,323,3,34,monthly,3366.00,active,2025-11-13,2026-01-28,false
773,333,323,3,26,monthly,2574.00,active,2026-01-28,9999-12-31,true
